Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:C536107	N acetyltransferase deficiency	N乙酰转移酶缺乏症
Disease::MESH:C536108	N syndrome	N综合征
Disease::MESH:C536109	N-acetyl glutamate synthetase deficiency	N-乙酰谷氨酸合成酶缺乏症
Disease::MESH:C536116	Nicolaides Baraitser syndrome	Nicolaids-Baraitser综合征
Disease::MESH:C536122	Night blindness, congenital stationary	夜盲症，先天性静止
Disease::MESH:C536133	Meckel syndrome type 1	Meckel综合征1型
Disease::MESH:C536138	Megacystis microcolon intestinal hypoperistalsis syndrome	微结肠巨孢子虫肠道低蠕动综合征
Disease::MESH:C536141	Megalencephalic leukoencephalopathy with subcortical cysts	巨脑白质脑病伴皮质下囊肿
Disease::MESH:C536166	Keshan disease	克山病
Disease::MESH:C536167	Keutel syndrome	Keutel综合征
Disease::MESH:C536168	Keratitis, Ichthyosis, and Deafness (KID) Syndrome	角膜炎、鱼鳞病和耳聋（KID）综合征
Disease::MESH:C536170	Diastrophic dysplasia	灾难性发育不良
Disease::MESH:C536174	Diffuse panbronchiolitis	弥漫性泛细支气管炎
Disease::MESH:C536176	Dimauro disease	迪马罗病
Disease::MESH:C536181	Ectodermal dysplasia, hypohidrotic, with immune deficiency	外胚层发育不良、少汗、免疫缺陷
Disease::MESH:C536183	Ectodermal Dysplasia-Skin Fragility Syndrome	外胚层发育不良皮肤脆弱综合征
Disease::MESH:C536184	Familial ectopia lentis	家族性晶状体异位症
Disease::MESH:C536187	Ectrodactyly cardiopathy dysmorphism	趾外心脏病畸形
Disease::MESH:C536192	Brittle cornea syndrome 1	脆性角膜综合征1
Disease::MESH:C536193	Ehlers-Danlos syndrome caused by tenascin-X deficiency	tenascin-X缺乏引起的Ehlers-Danlos综合征
Disease::MESH:C536194	Ehlers-Danlos syndrome type 1	Ehlers-Danlos综合征1型
Disease::MESH:C536196	Ehlers-Danlos syndrome type 3	Ehlers-Danlos综合征3型
Disease::MESH:C536201	Ehlers-Danlos syndrome, progeroid form	Ehlers-Danlos综合征，孕激素型
Disease::MESH:C536202	Elastosis perforans serpiginosa	穿孔弹性体
Disease::MESH:C536207	Citrulline transport defect	瓜氨酸转运缺陷
Disease::MESH:C536208	Clark-Baraitser syndrome	Clark-Baraitser综合征
Disease::MESH:C536209	Congenital central hypoventilation syndrome	先天性中央通气不足综合征
Disease::MESH:C536210	Congenital chloride diarrhea	先天性氯化物腹泻
Disease::MESH:C536211	Congenital contractural arachnodactyly	先天性花生结节挛缩症
Disease::MESH:C536213	Crigler Najjar syndrome, type 2	Crigler-Najjar综合征，2型
Disease::MESH:C536214	Crisponi syndrome	Crisoni综合征
Disease::MESH:C536221	Currarino triad	Currarino三合会
Disease::MESH:C536223	Cushing's symphalangism	库欣交感神经症
Disease::MESH:C536227	Cyclic neutropenia	周期性中性粒细胞减少症
Disease::MESH:C536228	Familial cyclic vomiting syndrome	家族性周期性呕吐综合征
Disease::MESH:C536231	Familial dilated cardiomyopathy	家族性扩张型心肌病
Disease::MESH:C536238	Blue cone monochromatism	蓝锥单色
Disease::MESH:C536240	Blue rubber bleb nevus syndrome	蓝橡胶泡痣综合征
Disease::MESH:C536245	Nondystrophic myotonia	非营养不良性肌强直
Disease::MESH:C536253	Pyogenic arthritis, pyoderma gangrenosum, and acne	化脓性关节炎、坏疽性脓皮病和痤疮
Disease::MESH:C536254	Pyridoxine-dependent epilepsy	吡哆醇依赖性癫痫
Disease::MESH:C536264	Radiation induced angiosarcoma of the breast	放射性乳腺血管肉瘤
Disease::MESH:C536271	Ichthyosis prematurity syndrome	鱼鳞病早产综合征
Disease::MESH:C536277	Idiopathic dilation cardiomyopathy	特发性扩张型心肌病
Disease::MESH:C536281	idiopathic pulmonary hemosiderosis	特发性肺含铁血黄素沉着症
Disease::MESH:C536283	Idiopathic subglottic tracheal stenosis	特发性声门下气管狭窄
Disease::MESH:C536287	Immotile cilia syndrome, due to excessively long cilia	纤毛过长导致的不动纤毛综合征
Disease::MESH:C536290	Immunoglobulin a deficiency 1	免疫球蛋白a缺乏症1
Disease::MESH:C536293	Agenesis of Cerebellar Vermis	小脑蚓畸形
Disease::MESH:C536309	Patterned dystrophy of retinal pigment epithelium	视网膜色素上皮图案性营养不良
Disease::MESH:C536311	Patterson Stevenson syndrome	帕特森-史蒂文森综合征
Disease::MESH:C536316	Peeling skin syndrome, acral type	肢端型脱皮综合征
Disease::MESH:C536317	PEHO syndrome	PEHO综合征
Disease::MESH:C536329	Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy	多囊性脂膜性骨发育不良伴硬化性白质脑病
Disease::MESH:C536334	Polymorphic catecholergic ventricular tachycardia	多形性儿茶酚胺能室性心动过速
Disease::MESH:C536335	Polyostotic osteolytic dysplasia, hereditary expansile	多发性溶骨性发育不良，遗传性膨胀
Disease::MESH:C536343	Posterior column ataxia with retinitis pigmentosa	后柱共济失调伴视网膜色素变性
Disease::MESH:C536345	nothing	不存在
Disease::MESH:C536351	Visceral Steatosis, Congenital	内脏脂肪变性，先天性
Disease::MESH:C536352	Vitreoretinochoroidopathy	玻璃体视网膜脉络膜病
Disease::MESH:C536353	VLCAD deficiency	VLCAD缺陷
Disease::MESH:C536357	Anemia, hypochromic microcytic	贫血，低色素微细胞
Disease::MESH:C536369	Angiostrongyliasis	管圆线虫病
Disease::MESH:C536377	Anonychia congenita	先天性甲沟炎
Disease::MESH:C536380	Evans Syndrome	Evans综合征
Disease::MESH:C536382	Exudative vitreoretinopathy 1	渗出性玻璃体视网膜病变1
Disease::MESH:C536385	nothing	不存在
Disease::MESH:C536390	Donnai-Barrow syndrome	Donnai-Barrow综合征
Disease::MESH:C536391	Facioscapulohumeral muscular dystrophy 1a	面肩肱型肌营养不良1a
Disease::MESH:C536392	Factor 8 deficiency, acquired	因子8缺陷，后天
Disease::MESH:C536394	Neonatal hemochromatosis	新生儿血色病
Disease::MESH:C536395	Neonatal herpes	新生儿疱疹
Disease::MESH:C536399	Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor	肾母细胞瘤病、胎儿腹水、巨大儿和肾母细胞肿瘤
Disease::MESH:C536404	Nephrotic syndrome, idiopathic, steroid-resistant	肾病综合征，特发性，类固醇抵抗
Disease::MESH:C536408	Neural crest tumor	神经嵴肿瘤
Disease::MESH:C536411	Neuraminidase deficiency with beta-galactosidase deficiency	神经氨酸酶缺乏伴β-半乳糖苷酶缺乏
Disease::MESH:C536414	Primary hyperoxaluria type 1	原发性高氧尿症1型
Disease::MESH:C536420	Primrose syndrome	Primrose综合征
Disease::MESH:C536423	Progeroid syndrome, neonatal	孕激素综合征，新生儿
Disease::MESH:C536424	Progressive hearing loss stapes fixation	进行性听力损失镫骨固定术
Disease::MESH:C536426	Cleft palate X-linked	腭裂X-连锁
Disease::MESH:C536430	COACH syndrome	COACH综合征
Disease::MESH:C536434	CODAS syndrome	CODAS综合征
Disease::MESH:C536436	Coffin-Siris syndrome	Coffin-Siris综合征
Disease::MESH:C536438	Cohen syndrome	科恩综合征
Disease::MESH:C536439	Corneal endothelial dystrophy type 2	角膜内皮营养不良2型
Disease::MESH:C536444	Corneodermatoosseous syndrome	角膜软骨综合征
Disease::MESH:C536446	Corpus callosum agenesis neuronopathy	胼胝体发育不全性神经病变
Disease::MESH:C536447	Cortisone reductase deficiency	皮质醇还原酶缺乏症
Disease::MESH:C536456	Craniofrontonasal dysplasia	颅额鼻发育不良
Disease::MESH:C536457	Vohwinkel syndrome	Vohwinkel综合征
Disease::MESH:C536458	Von Willebrand disease, platelet type	Von Willebrand病，血小板型
Disease::MESH:C536463	Waardenburg syndrome type 2	Waardenburg综合征2型
Disease::MESH:C536464	Waardenburg syndrome type 2A	Waardenburg综合征2A型
Disease::MESH:C536467	Waardenburg syndrome, type 4	Waardenburg综合征，4型
Disease::MESH:C536469	Uniparental disomy of 13	13岁的单亲婚姻
Disease::MESH:C536482	Hereditary renal agenesis	遗传性肾发育不全
Disease::MESH:C536483	Uropathy distal obstructive polydactyly	泌尿系统疾病远端梗阻性多指
Disease::MESH:C536485	Usher syndrome, type 1B	Usher综合征，1B型
Disease::MESH:C536487	Usher syndrome, type 1D	Usher综合征，1D型
Disease::MESH:C536488	Usher syndrome, type 1E	Usher综合征，1E型
Disease::MESH:C536489	Usher syndrome, type 1F	Usher综合征，1F型
Disease::MESH:C536492	Usher syndrome, type 2C	Usher综合征，2C型
Disease::MESH:C536494	Uveal melanoma	葡萄膜黑色素瘤
Disease::MESH:C536506	Thanatophoric dysplasia Glasgow variant	Thanathoric发育不良格拉斯哥变异
Disease::MESH:C536510	Thiamine responsive megaloblastic anemia syndrome	硫胺素反应性巨幼细胞性贫血综合征
Disease::MESH:C536512	Thiopurine S methyltranferase deficiency	硫嘌呤S甲基转移酶缺乏症
Disease::MESH:C536520	nothing	不存在
Disease::MESH:C536522	Vacuolar myopathy	液泡肌病
Disease::MESH:C536525	Valproic acid antenatal infection	丙戊酸产前感染
Disease::MESH:C536528	Van der Woude syndrome	范德沃德综合征
Disease::MESH:C536530	Van Maldergem Wetzburger Verloes syndrome	Van Maldergem-Wettzburer-Verloes综合征
Disease::MESH:C536549	Tricho-dento-osseous syndrome	毛-牙-骨综合征
Disease::MESH:C536552	nothing	不存在
Disease::MESH:C536560	Chanarin-Dorfman Syndrome	Chanarin-Dorfman综合征
Disease::MESH:C536561	Trimethylaminuria	三甲基胺尿症
Disease::MESH:C536572	nothing	不存在
Disease::MESH:C536573	Boomerang dysplasia	回旋镖发育不良
Disease::MESH:C536575	Borjeson-Forssman-Lehmann syndrome	Borjeson-Forsman-Lehmann综合征
Disease::MESH:C536586	Alport syndrome, dominant type	Alport综合征，显性
Disease::MESH:C536587	Alport syndrome, recessive type	Alport综合征，隐性
Disease::MESH:C536589	Alternating hemiplegia of childhood	儿童交替性偏瘫
Disease::MESH:C536590	Alveolar capillary dysplasia	肺泡毛细血管发育不良
Disease::MESH:C536591	Alveolar echinococcosis	肺泡包虫病
Disease::MESH:C536599	Alzheimer's disease without Neurofibrillary tangles	无神经纤维缠结的阿尔茨海默病
Disease::MESH:C536600	Amaurosis congenita of Leber, type 1	Leber先天性黑蒙病，1型
Disease::MESH:C536604	Amaurosis hypertrichosis	黑蒙病
Disease::MESH:C536607	Brody myopathy	布罗迪肌病
Disease::MESH:C536610	Familial cerebral cavernous malformation	家族性脑海绵状畸形
Disease::MESH:C536611	Familial cylindromatosis	家族性柱状体病
Disease::MESH:C536612	Familial dermographism	家族性皮肤病
Disease::MESH:C536623	Scalp ear nipple syndrome	头皮-耳-乳头综合征
Disease::MESH:C536627	Schaefer Stein Oshman syndrome	Schaefer-Stein-Oshman综合征
Disease::MESH:C536629	Schimke immunoosseous dysplasia	Schimke免疫性骨发育不良
Disease::MESH:C536632	Schinzel-Giedion syndrome	Schinzel-Giedion综合征
Disease::MESH:C536641	Schwannomatosis	神经鞘瘤病
Disease::MESH:C536644	Spastic paraplegia 17	痉挛性截瘫17
Disease::MESH:C536648	Pendred syndrome	彭德雷德综合征
Disease::MESH:C536649	Penis agenesis	阴茎发育不全
Disease::MESH:C536652	Pentosuria	戊糖菌属
Disease::MESH:C536656	nothing	不存在
Disease::MESH:C536657	Periodic fever, familial, autosomal dominant	周期性发热，家族性，常染色体显性
Disease::MESH:C536677	Snowflake vitreoretinal degeneration	雪花状玻璃体视网膜变性
Disease::MESH:C536681	Warburg Sjo Fledelius syndrome	Warburg Sjo Fledelius综合征
Disease::MESH:C536683	Warfarin syndrome	华法林综合征
Disease::MESH:C536687	Weaver syndrome	韦弗综合征
Disease::MESH:C536693	Wells syndrome	威尔斯综合征
Disease::MESH:C536697	WHIM syndrome	WHIM综合征
Disease::MESH:C536711	Winship Viljoen Leary syndrome	Winship Viljoen-Leary综合征
Disease::MESH:C536717	Young Simpson syndrome	Young Simpson综合征
Disease::MESH:C536723	Zazam Sheriff Phillips syndrome	扎扎姆·谢里夫·菲利普斯综合征
Disease::MESH:C536725	Zimmerman Laband syndrome	Zimmerman-Laband综合征
Disease::MESH:C536729	Zunich neuroectodermal syndrome	Zunich神经外胚层综合征
Disease::MESH:C536735	Winter Shortland Temple syndrome	冬季肖特兰寺综合征
Disease::MESH:C536739	Wolcott-Rallison syndrome	Wolcott Rallison综合征
Disease::MESH:C536742	Woodhouse Sakati syndrome	Woodhouse Sakati综合征
Disease::MESH:C536751	WT limb blood syndrome	WT肢体血液综合征
Disease::MESH:C536757	nothing	不存在
Disease::MESH:C536761	X-linked sideroblastic anemia	X连锁成铁细胞性贫血
Disease::MESH:C536762	Xanthogranulomatous cholecystitis	黄色肉芽肿性胆囊炎
Disease::MESH:C536764	Xerocytosis, hereditary	遗传性干细胞病
Disease::MESH:C536766	Xeroderma pigmentosum, variant type	着色性干皮病，变异型
Disease::MESH:C536769	46, XY female	46，XY内螺纹
Disease::MESH:C536772	Syphilis, primary	梅毒，原发性
Disease::MESH:C536773	Syphilis, secondary	梅毒，继发性
Disease::MESH:C536777	Systemic candidiasis	系统性念珠菌病
Disease::MESH:C536778	Systemic carnitine deficiency	全身性肉碱缺乏症
Disease::MESH:C536779	Systemic necrotizing angiitis	全身坏死性血管炎
Disease::MESH:C536784	Tabatznik syndrome	Tabatznik综合征
Disease::MESH:C536787	Spastic ataxia Charlevoix-Saguenay type	痉挛性共济失调Charlevoix Saguenay型
Disease::MESH:C536788	Craniosynostosis radial aplasia syndrome	颅咽闭锁-桡骨发育不全综合征
Disease::MESH:C536801	Telomeric 22q13 Monosomy Syndrome	端粒22q13单体综合征
Disease::MESH:C536816	Distal myopathy, Nonaka type	远端肌病，Nonaka型
Disease::MESH:C536817	Al-Gazali Syndrome	Al-Gazali综合征
Disease::MESH:C536820	Trichorhinophalangeal Syndrome, Type I	毛鼻指骨综合征，I型
Disease::MESH:C536826	Glomerulopathy with fibronectin deposits	肾小球疾病伴纤维连接蛋白沉积
Disease::MESH:C536827	Glomus vagale tumors	迷走神经球瘤
Disease::MESH:C536830	Glut1 Deficiency Syndrome	Glut1缺乏综合征
Disease::MESH:C536832	Glutamine deficiency, congenital	谷氨酰胺缺乏症，先天性
Disease::MESH:C536833	Glutaric Acidemia I	谷氨酸血症I
Disease::MESH:C536835	Glutathione synthetase deficiency	谷胱甘肽合成酶缺乏症
Disease::MESH:C536839	Cardiac form of generalized glycogenosis	全身性糖原增多症的心脏型
Disease::MESH:C536841	Familial encephalopathy with neuroserpin inclusion bodies	家族性脑病伴神经萜包涵体
Disease::MESH:C536842	Polycythemia, primary familial and congenital	原发性家族性和先天性红细胞增多症
Disease::MESH:C536857	Spastic paraplegia 2, X-linked	痉挛性截瘫2，X-连锁
Disease::MESH:C536858	Spastic paraplegia 20, autosomal recessive	痉挛性截瘫20，常染色体隐性
Disease::MESH:C536875	Arrest of spermatogenesis	精子发生受阻
Disease::MESH:C536883	King Denborough syndrome	King Denborough综合征
Disease::MESH:C536890	Hemiplegic migraine, familial type 1	偏瘫型偏头痛，家族性1型
Disease::MESH:C536896	Tamari Goodman syndrome	Tamari Goodman综合征
Disease::MESH:C536897	Tang Hsi Ryu syndrome	唐熙龙综合征
Disease::MESH:C536905	Thymic epithelial tumor	胸腺上皮肿瘤
Disease::MESH:C536911	Familial medullary thyroid carcinoma	家族性甲状腺髓样癌
Disease::MESH:C536914	Thyroid cancer, medullary	甲状腺癌，髓样
Disease::MESH:C536915	nothing	不存在
Disease::MESH:C536917	nothing	不存在
Disease::MESH:C536920	Tight skin contracture syndrome, lethal	紧密皮肤挛缩综合征，致命
Disease::MESH:C536922	Tubulointerstitial nephritis and uveitis	小管间质性肾炎和葡萄膜炎
Disease::MESH:C536928	Turcot syndrome	Turcot综合征
Disease::MESH:C536937	Ulnar-mammary syndrome	尺侧乳腺综合征
Disease::MESH:C536940	Absent radii and thrombocytopenia	桡骨缺失和血小板减少
Disease::MESH:C536942	TARP syndrome	TARP综合征
Disease::MESH:C536943	NOG-Related-Symphalangism Spectrum Disorder	NOG相关症状谱系障碍
Disease::MESH:C536946	Taurodontism	陶氏牙症
Disease::MESH:C536954	Telencephalic leukoencephalopathy	端脑白质脑病
Disease::MESH:C536961	Familial Testotoxicosis	家族性睾丸中毒
Disease::MESH:C536962	Timothy syndrome	Timothy综合征
Disease::MESH:C536972	Torulopsis	弓形虫病
Disease::MESH:C536974	Townes-Brocks syndrome	Townes Brocks综合征
Disease::MESH:C536979	Transient bullous dermolysis of the newborn	新生儿短暂性大疱性皮肤松解
Disease::MESH:C536980	Transient erythroblastopenia of childhood	儿童短暂性红细胞减少症
Disease::MESH:C536987	Mosaic variegated aneuploidy syndrome	马赛克杂色非整倍体综合征
Disease::MESH:C536990	Mowat-Wilson syndrome	Mowat-Wilson综合征
Disease::MESH:C537001	Left-sided gallbladder	左侧胆囊
Disease::MESH:C537004	Leigh syndrome , French Canadian type	Leigh综合征，法国-加拿大型
Disease::MESH:C537005	Complement component 5 deficiency	补体成分5缺乏
Disease::MESH:C537007	Kaposiform Hemangioendothelioma	Kaposiform血管内皮瘤
Disease::MESH:C537013	Kaufman oculocerebrofacial syndrome	考夫曼眼头面部综合征
Disease::MESH:C537014	Infantile polyarteritis	婴儿多动脉炎
Disease::MESH:C537015	KBG syndrome	KBG综合征
Disease::MESH:C537017	Bulbospinal neuronopathy, X-linked recessive	延髓神经病变，X-连锁隐性
